Probe Name,Class Name,,Avg Count,Min Count,Max Count,%CV,,20230616_210462891024_K1241-B_02.RCC,20230616_210462891024_K1628-B_03.RCC,20230616_210462891024_K1865-B_04.RCC,20230616_210462891024_K2032-B_05.RCC,20230616_210462891024_K2068-B_06.RCC,20230616_210462891024_K2323-B_07.RCC,20230616_210462891024_K2360-B_08.RCC,20230616_210462891024_K2520-B_09.RCC,20230616_210462891024_K2669-B_10.RCC,20230616_210462891024_K2742-B_11.RCC,20230616_210462891024_K2849-B_12.RCC,20230616_210462891024_K853-B_01.RCC,20230707_210462871024_K1241-Tx_09.RCC,20230707_210462871024_K1628-Tx_10.RCC,20230707_210462871024_K2032-Tx_11.RCC,20230707_210462871024_K2360-Tx_12.RCC,20230707_210462871024_K4106-B_01.RCC,20230707_210462871024_K4196-B_02.RCC,20230707_210462871024_K4258-B_03.RCC,20230707_210462871024_K4307-B_04.RCC,20230707_210462871024_K4360-B_05.RCC,20230707_210462871024_K4368-B_06.RCC,20230707_210462871024_K5046-B_07.RCC,20230707_210462871024_K853-Tx_08.RCC,20230707_210462881024_K2894-B_01.RCC,20230707_210462881024_K2917-B_02.RCC,20230707_210462881024_K3056-B_03.RCC,20230707_210462881024_K3566-B_04.RCC,20230707_210462881024_K3812-B_05.RCC,20230707_210462881024_K3953-B_06.RCC,20230707_210462881024_K3975-B_07.RCC,20230707_210462881024_K4010-B_08.RCC,20230707_210462881024_K4020-B_09.RCC,20230707_210462881024_K4023-B_10.RCC,20230707_210462881024_K4054-B_11.RCC,20230707_210462881024_K4093-B_12.RCC,20230707_210462901024_K2742-Tx_01.RCC,20230707_210462901024_K2849-Tx_02.RCC,20230707_210462901024_K2894-Tx_03.RCC,20230707_210462901024_K2917-Tx_04.RCC,20230707_210462901024_K3056-Tx_05.RCC,20230707_210462901024_K3566-Tx_06.RCC,20230707_210462901024_K3953-Tx_07.RCC,20230707_210462901024_K3975-Tx_08.RCC,20230707_210462901024_K4106-Tx_09.RCC,20230707_210462901024_K4258-Tx_10.RCC,20230707_210462901024_K4360-Tx_11.RCC,20230707_210462901024_K4368-Tx_12.RCC
,,,,,,,,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Treatment,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL6R,Endogenous,,183.36,18.95,1066.73,116.66,,92.16,179.66,285.84,18.95,337.23,109.2,54.29,60.63,33.59,41.58,81.28,199.48,77.35,290.35,57.49,65.91,472.89,76.35,470.86,96.8,43.15,122.05,210.29,149.36,389.65,130.39,107.15,66.14,56.77,1066.73,51.88,45.46,85.44,52.88,266.24,251.16,45.43,91.08,185.66,140.44,210.75,281.08,1006.39,21.42,339.33,86.55,86.63,109.87
IL6ST,Endogenous,,3597.36,961.24,9674.04,53.61,,3640.25,3151.01,4827.82,2592.97,4710.69,2398.58,4388.6,4466.94,1062.77,961.24,2143.65,6816.25,2920.58,1913.58,3435.89,4604.91,2830.37,2593.16,2729.12,2170.57,1970.87,4556.45,4480.02,4636.16,8471.63,2224.47,4127.39,2351.66,2369.44,9674.04,2616.68,4372.46,3345.92,2021.82,5086.23,2487.31,1232.44,3252.11,3818.73,3083.57,5183.5,5059.43,9405.26,2334.49,4150.1,1839.09,1563.66,2599.55
IL7,Endogenous,,32.36,2.4,182.99,125.78,,69.12,8.38,25.13,13.27,50,16,6.79,8.66,2.4,3.33,14.22,37.64,18.89,11.2,14.15,7.32,128.65,4.24,14.06,22.53,12.33,20.34,12.92,149.36,71.57,47.41,11.43,11.02,6.64,13.84,16.78,16.22,14.36,6.66,19.02,21.61,10.63,14.41,127.41,73.27,40.06,93.69,28.64,14.28,182.99,18.03,12.99,9.16
IL7R,Endogenous,,315.45,9.06,2217.98,155.69,,92.16,80.99,1868.94,61.6,236.06,333.24,104.06,35.88,33.59,9.98,241.8,225.83,121.43,28.43,65.45,82.99,747.58,226.39,114.79,162.73,41.39,133.49,2217.98,179.23,421.46,47.41,72.86,51.44,9.06,31.94,286.84,84.29,664.88,226.08,1892.21,1085.67,34.8,766.72,280.31,116.02,90.57,445.04,106.37,117.8,351.76,234.39,177.59,99.95
IL8,Endogenous,,921.11,4.91,33201.91,519.53,,207.36,156.39,232.44,21.8,165.12,242.87,15.84,32.17,19.19,34.92,109.72,214.54,53.97,190.41,329.88,30.51,288.6,44.01,65.59,25.04,17.61,495.82,143.91,191.18,249.17,189.65,24.29,84.51,43.49,275.73,50.35,4.91,45.23,17.07,64.83,33201.91,12.57,25.21,345.83,36.64,81.86,46.85,270.01,431.92,229.18,2408.85,2724.5,19.84
IL9,Endogenous,,13.48,1.67,47.8,76.45,,23.04,8.38,12.56,8.53,3.49,12.24,6.79,7.42,2.06,13.3,8.13,18.82,8.99,6.89,5.31,13.43,34.77,4.24,14.06,5.84,10.57,11.44,8.22,47.8,23.86,11.85,11.43,22.05,6.64,6.39,13.73,2.7,10.77,1.67,10.37,8.1,8.7,3.6,29.12,42.74,10.45,35.13,24.55,14.28,8.88,14.42,21.66,7.63
ILF3,Endogenous,,1658.01,345.59,3026.75,29.45,,345.59,1547.11,1457.46,1582.7,1373.32,1846,1687.57,1087.66,2662.58,3026.75,1879.5,1035.05,1503.02,2184.98,1464.56,1692.82,1516.02,1814.31,1656.21,1781.69,1231.13,2391.37,1513.12,1075.4,1537.4,2192.86,1628.67,2208.36,2217.24,1564.97,1151.95,1837.4,2057.09,1487.22,1485.93,1091.07,2394.31,2200.84,1103.03,1660.85,2208.56,1171.16,1448.22,1156.54,1449.69,1633.55,1221.48,2120.38
INPP5D,Endogenous,,282.58,54.28,3909.73,194.25,,207.36,82.85,288.98,102.35,162.8,251.34,459.22,86.62,99.05,66.52,144.26,176.9,195.19,54.28,91.09,427.17,427.68,323.42,110.1,323.79,65.17,82.64,368.29,119.49,227.96,63.22,167.15,132.28,95.43,122.43,164.78,3909.73,658.41,116.58,348.36,245.76,124.69,250.08,280.31,244.24,280.42,316.21,163.64,121.36,266.49,219.97,190.59,137.34
IRAK1,Endogenous,,931.86,176.95,4444.1,92.5,,253.43,876.88,439.75,398.99,546.54,769.09,305.39,176.95,441.42,445.7,944.83,470.48,770.85,377.37,318.38,385.68,810.17,2077.81,791.8,2075.44,4305.44,897.56,699.58,567.57,996.66,821.83,675.76,503.4,395.61,677.09,1335.04,288.99,2054.22,772.34,518.65,1339.53,417.58,870.15,731.71,1318.91,985.84,620.72,695.47,685.36,765.71,1922.03,4444.1,745.45
IRAK2,Endogenous,,57.32,18.74,171.01,61.03,,92.16,120.08,75.39,32.22,111.63,65.89,27.15,24.75,19.19,23.28,22.35,63.98,38.68,86.16,49.53,65.91,62.59,44.54,171.01,44.23,37.87,86.45,44.64,41.82,58.32,75.07,34.29,33.07,19.93,33,126.64,44.23,25.85,18.74,56.19,164.74,26.1,41.68,40.04,79.38,60.96,58.56,36.82,67.82,35.53,75.73,51.98,35.1
IRAK4,Endogenous,,195.68,91.83,368.63,31.69,,368.63,262.51,182.18,180.07,118.61,215.57,318.97,220.25,228.94,99.78,249.92,203.25,159.21,127.51,169.8,148.9,222.54,283.65,121.81,221.15,110.96,227.57,184.44,143.39,230.61,158.04,231.44,135.96,155.22,340.67,285.32,163.91,180.22,97.43,211.78,243.06,91.83,133.27,232.98,238.14,149.79,175.67,237.28,199.9,147.46,191.12,194.92,196.85
IRF1,Endogenous,,251.3,78.38,875.48,66.8,,299.51,138.7,295.26,115.62,412.81,143.09,151.57,89.09,363.62,99.78,121.91,387.67,246.46,118.04,189.26,158.66,643.27,418.32,114.79,214.47,78.38,162.73,439.96,298.72,217.36,169.9,164.3,227.82,96.03,191.63,218.18,111.32,178.78,117.83,582.62,278.17,126.63,179.59,120.13,225.93,179.4,456.75,875.48,621.1,298.47,126.21,251.23,345.64
IRF2,Endogenous,,428.07,186.1,1198.06,44.99,,1198.06,347.22,402.06,317.49,368.62,358.66,533.87,491.24,186.1,267.75,325.1,361.33,452.43,223.15,275.93,485.76,570.25,394.46,433.38,491.53,251.86,338.17,448.18,1015.65,270.37,458.33,302.88,363.77,274.81,193.76,324.99,350.43,337.46,205.68,466.79,739.98,284.19,278.39,447.76,488.49,369.25,761.26,613.65,496.17,413.94,540.91,554.43,471.54
IRF3,Endogenous,,155.23,57.57,341.77,42.63,,253.43,122.88,304.68,223.66,113.96,96.96,119.89,170.76,281.37,138.03,223.51,131.73,57.57,104.25,246.75,101.3,198.2,104.45,133.53,88.46,95.11,171.63,111.02,119.49,222.66,126.44,222.87,194.75,149.79,292.77,341.77,76.43,136.42,108.25,181.53,137.73,83.13,95.71,58.25,146.55,188.11,140.54,171.82,153.49,158.12,104.58,103.96,142.68
IRF4,Endogenous,,234.32,16.73,2392.08,210.21,,161.28,32.58,213.59,60.65,36.05,49.89,56.55,23.51,26.05,530.51,30.48,79.04,41.38,58.59,741.13,36.61,194.72,30.22,46.85,20.03,16.73,26.7,70.49,83.64,471.82,47.41,34.29,2392.08,60.4,1979.1,59.5,20.4,53.13,47.88,158.19,456.41,275.49,33.96,203.86,85.49,69.67,187.39,1660.96,39.27,106.59,54.09,60.64,22.13
IRF5,Endogenous,,61.15,19.33,142.82,50.6,,115.2,27,91.09,30.33,46.51,52.72,42.98,44.55,49.01,31.6,48.77,48.93,43.17,22.4,21.23,35.39,83.45,64.68,46.85,103.48,20.25,45.77,74.6,95.59,95.43,39.51,102.86,40.42,36.24,31.94,54.93,25.07,62.47,29.14,102,89.12,19.33,49.4,120.13,103.8,142.82,105.4,81.82,57.11,65.73,79.33,69.3,46.54
IRF7,Endogenous,,244.38,51.75,807.19,58.96,,230.4,65.16,358.08,196.18,154.66,176.97,230.74,180.66,51.75,111.42,274.31,304.87,297.73,84.44,107.9,203.82,351.19,230.1,714.49,167.74,184.05,405.55,219.68,185.21,214.71,150.14,807.19,158,212.6,128.82,419.58,158.99,273.56,220.25,303.41,353.79,130.49,178.56,218.42,268.67,534.72,269.37,229.1,228.45,159.89,147.85,298.87,177.78
IRF8,Endogenous,,100.86,14.97,234.26,57.88,,161.28,62.37,213.59,34.12,80.24,157.21,56.55,35.88,63.06,14.97,42.67,158.08,94.44,43.08,44.22,85.43,149.52,169.13,86.68,151.05,42.27,53.4,220.86,95.59,100.73,35.56,77.15,84.51,26.58,53.23,62.56,109.35,142.88,104.92,234.26,202.55,57.03,143.57,109.21,164.86,167.21,210.81,57.27,74.96,110.15,75.73,43.31,77.06
IRGM,Endogenous,,22.52,2.86,82.3,89.37,,69.12,7.45,34.55,7.58,17.44,15.06,15.84,13.61,4.46,21.62,12.19,26.35,8.1,9.48,5.31,15.87,34.77,18.03,11.71,10.01,10.57,13.98,17.62,65.72,13.25,27.66,2.86,22.05,12.08,5.32,38.14,3.93,7.18,8.33,13.83,32.41,10.63,5.66,61.89,24.42,24.38,81.98,32.73,49.97,23.1,25.24,82.3,5.34
ISG15,Endogenous,,759.27,83.73,7410.45,163.04,,575.99,237.37,304.68,870.01,381.41,664.6,257.89,280.89,342.38,116.41,2615.05,617.26,1207.09,255.89,282.12,446.7,246.87,1505.74,229.57,499.04,228.97,1085.72,301.33,262.88,148.44,165.95,7410.45,220.47,413.13,176.72,883.41,407.93,1175.38,4530.78,395.9,564.44,120.83,759,83.73,720.52,945.78,339.64,151.37,328.4,182.99,238,394.16,1871.65
ISG20,Endogenous,,144.48,29,428.44,63.39,,92.16,166.63,254.43,159.22,197.68,150.62,106.32,70.53,63.75,44.9,225.54,173.13,199.68,76.68,57.49,54.92,309.46,154.82,35.14,55.91,61.64,428.44,174.45,167.28,347.24,118.53,162.87,40.42,65.83,143.72,109.85,34.4,193.14,88.68,179.8,183.64,29,90.05,214.78,122.12,94.06,234.23,110.46,114.23,97.71,122.61,151.6,405.15
ITCH,Endogenous,,806.33,442.37,1544.78,28.6,,806.38,729.81,687.89,554.42,715.15,1012.9,574.59,863.69,613.81,442.37,601.44,696.3,752.86,1442.29,663.3,771.35,928.39,1251.78,651.24,1044.81,1134.26,1022.15,798.26,561.6,577.85,727,952.91,936.99,698.21,794.19,741.52,754.91,1013.11,828.55,783.16,1544.78,560.64,848.53,618.86,702.2,630.52,562.16,879.57,721.05,891.84,598.61,784,1231.49
ITGA1,Endogenous,,1347.84,154.02,4906.37,78.79,,322.55,1923.19,2195.61,362.03,1359.37,686.25,3804.96,671.9,543.89,1228.99,268.21,1629.73,1512.01,688.41,436.01,4906.37,1804.62,156.41,602.05,539.93,624.37,1908.27,2828.87,4666.03,1871.39,1505.37,794.33,1021.5,154.02,250.18,1293.84,1097.48,656.98,323.92,2097.08,780.49,1733.15,1107.37,964.69,1953.95,1799.25,1838.73,490.92,467.61,1662.88,1853.52,870.63,2437.03
ITGA2,Endogenous,,196.9,7.51,1927.03,150.07,,69.12,100.53,276.41,54.97,125.59,128.02,748.78,96.52,173.07,13.3,87.37,79.04,133.12,90.47,88.44,596.82,187.76,28.1,18.74,7.51,66.93,363.6,271.96,131.44,129.88,138.29,88.58,99.21,62.21,24.49,1927.03,278.42,66.06,55.38,344.04,197.15,27.07,124.01,182.02,195.39,41.8,503.6,53.18,153.49,314.46,176.7,199.25,132
ITGA2B,Endogenous,,43.31,3.67,598.06,198.9,,69.12,9.31,25.13,21.8,4.65,9.41,15.84,74.24,33.59,24.95,20.32,30.11,12.59,29.29,20.34,21.97,598.06,7.42,32.8,6.68,6.16,16.53,44.64,71.69,34.46,71.12,15.72,3.67,52.55,4.26,9.15,18.18,15.8,7.49,31.98,35.11,32.87,7.72,109.21,73.27,45.29,93.69,8.18,21.42,104.82,43.27,25.99,6.87
ITGA4,Endogenous,,205.94,37.24,501.17,58.59,,184.32,37.24,342.38,68.24,106.98,171.33,137.99,97.75,115.15,68.18,402.32,158.08,275.24,45.66,74.29,180.63,288.6,294.79,166.32,232,164.68,125.86,322.48,125.46,169.64,126.44,202.87,176.37,50.13,69.2,166.31,103.95,501.17,145.72,343.17,229.56,91.83,489.88,218.42,396.9,311.78,281.08,143.19,481.89,174.11,342.58,294.54,188.46
ITGA5,Endogenous,,1768.23,241.67,11016.23,104.12,,506.87,4330.43,992.58,241.67,2768.74,2725.23,3151.2,275.94,1077.51,320.97,418.57,1099.03,550.48,819.37,855.21,2956.03,806.69,1997.23,548.17,2317.45,1637.99,3747.88,1023.23,585.49,1391.62,3923.45,1558.67,319.68,376.28,1405.27,2238.29,523.43,1330.47,422.6,836.76,3257,517.14,834.13,1019.3,5171.85,782.05,1288.28,895.93,3116.22,861.64,2599.97,3434.86,11016.23
ITGA6,Endogenous,,524.68,75.17,4164.31,133.61,,299.51,138.7,577.96,131.73,86.05,485.74,2956.65,308.11,883.19,310.99,709.13,677.48,541.48,125.79,75.17,4164.31,778.87,189.28,595.02,153.55,227.2,161.46,787.1,675.11,416.16,189.65,198.58,158,152.2,126.69,445.52,298.82,693.6,253.56,567.92,113.43,374.08,780.1,509.65,384.68,346.61,1276.57,151.37,364.1,598.71,274.06,320.53,150.31
ITGAE,Endogenous,,235.2,104.19,857.85,51.62,,460.79,300.67,144.49,146.9,202.34,308.76,149.3,238.81,104.19,126.39,245.86,165.61,420.05,129.24,175.11,155,260.78,857.85,199.12,270.38,354.9,203.41,327.76,274.82,108.68,217.31,154.3,128.61,182.4,236.34,207.5,186.27,149.35,322.68,210.92,275.47,168.19,296.91,189.3,225.93,153.28,257.66,261.83,153.49,167,241.61,355.18,216.69
ITGAL,Endogenous,,205.29,32.62,994.45,92.13,,253.43,157.32,706.74,93.82,231.41,151.56,133.47,75.48,165.88,44.9,154.42,188.19,124.13,95.64,96.4,115.95,994.45,282.59,77.31,141.03,34.34,63.57,604.42,238.98,145.79,102.73,104.29,165.35,32.62,63.88,102.23,58.49,244.84,151.14,670.79,124.23,86.03,197.08,232.98,207.61,308.29,491.89,216.82,214.17,204.31,93.76,246.89,162.52
ITGAM,Endogenous,,179.18,39.91,472.62,64.83,,138.24,80.99,163.34,44.54,174.43,336.06,79.18,73.01,52.44,39.91,89.4,180.66,225.77,49.11,106.13,107.4,375.53,201.47,100.73,338.81,81.9,123.32,305.44,191.18,402.91,86.92,134.29,110.23,50.73,86.23,105.28,141.79,234.07,85.35,329.34,472.62,41.56,250.08,152.89,207.61,414.54,269.37,208.64,232.02,202.53,443.55,173.26,106.06
ITGAX,Endogenous,,320.64,33.41,1858.05,112.2,,161.28,89.36,577.96,45.49,239.55,1190.82,42.98,33.41,163.48,54.88,117.85,255.94,187.99,209.36,99.05,201.38,1526.45,175.49,180.38,387.21,95.99,148.75,544.51,143.39,371.1,146.19,544.32,158,75.5,61.75,331.09,289.24,208.22,255.64,685.48,1858.05,54.13,288.16,192.94,396.9,613.1,527.02,98.18,306.98,282.48,317.33,259.89,196.09
ITGB1,Endogenous,,6801.38,1809.26,27679.58,66.74,,7718.25,27679.58,4651.92,3716.97,5323.51,5778.99,11059.72,2774.2,9165.66,1917.49,4134.91,4053.62,5210.64,6375.72,3047.64,10676.85,4033.45,4753.68,5223.98,7709.25,8978.11,12591.26,6578.18,3698.17,3782.54,13564.15,15110.91,4177.87,3608.22,3864.51,9075.21,4982.39,2669.55,3910.41,6409.65,5692.99,2610.84,5605.78,1809.26,13640.99,8512.02,6464.83,2818.71,11454.71,4221.16,7987.44,6735.45,10904.83
ITGB2,Endogenous,,458.25,81.49,1230.07,68.5,,322.55,204.79,722.45,188.6,457,937.59,171.92,98.99,192.27,81.49,245.86,316.16,567.57,117.18,271.51,339.3,1105.72,548.22,299.85,499.87,128.57,268.25,1160.68,238.98,387,256.82,354.31,231.49,167.91,347.06,300.57,292.68,812.78,398.04,1230.07,1077.56,139.19,554.71,294.87,842.64,1001.52,527.02,450.01,613.96,307.35,1052.97,528.44,341.83
ITGB3,Endogenous,,217.48,14.5,705.83,90.67,,368.63,234.58,116.22,19.9,668.64,472.56,128.94,48.26,34.27,24.95,223.51,79.04,113.33,186.1,24.76,111.06,462.46,249.72,51.54,452.31,93.35,315.29,78.71,101.57,182.9,517.6,604.32,66.14,14.5,705.83,189.19,121.15,91.91,59.96,74.34,307.88,27.07,79.24,323.99,348.05,118.44,93.69,703.66,96.38,92.38,119,359.51,482.22
ITGB4,Endogenous,,151.89,8.53,737.83,120.38,,138.24,52.13,386.35,8.53,50,138.38,140.25,178.18,213.17,26.61,67.05,718.89,44.97,28.43,10.61,30.51,577.2,20.15,93.7,40.89,64.29,54.67,236.72,173.26,302.18,71.12,41.43,99.21,486.81,12.78,73.24,121.15,50.26,20.4,414.92,16.2,18.37,101.37,138.33,280.88,121.92,737.83,40.91,21.42,445.92,36.06,121.28,23.65
ITK,Endogenous,,225.49,7.9,1828.18,167.52,,161.28,101.47,276.41,47.39,140.7,67.78,63.34,39.6,44.55,23.28,353.55,903.31,72.86,20.68,18.57,28.07,740.62,91.19,44.51,63.42,24.66,34.33,301.33,1828.18,1431.38,7.9,32.86,66.14,10.87,38.33,382.97,18.92,259.92,94.93,198.82,199.85,26.1,229.5,651.62,67.17,53.99,128.83,90,107.09,1078.39,36.06,90.96,29.76
JAK1,Endogenous,,1009.86,367.68,1798.64,31.14,,875.5,848.03,1432.33,873.8,1130.29,1690.68,1653.64,759.75,653.22,468.98,871.68,899.55,1154.02,596.22,890.59,1584.2,1053.56,857.32,1382.13,1161.64,1202.07,1031.05,1280.51,543.67,962.2,857.39,898.63,1017.83,665.59,1001.79,1002.42,972.39,1254.36,789.41,1390.85,1798.64,599.3,1082.67,367.68,885.38,1099.06,1171.16,940.94,878.11,687.54,1229.67,1243.13,782.84
JAK2,Endogenous,,462.79,193.03,887.86,36.15,,368.63,792.17,757,344.02,363.97,665.54,407.19,193.03,336.55,347.58,341.36,511.88,324.71,610.86,289.2,485.76,611.97,467.1,487.26,412.25,381.32,517.43,632.62,250.93,622.91,252.87,500.03,654.06,367.83,213.99,569.11,887.86,344.64,232.33,805.64,723.78,327.68,454.88,294.87,567.87,325.71,468.47,368.19,478.32,355.32,400.27,498.12,598.96
JAK3,Endogenous,,188.11,30.93,672.86,72.62,,115.2,85.64,223.02,53.07,116.28,184.51,165.14,190.56,232.02,31.6,93.47,188.19,181.69,48.25,79.6,152.56,552.86,203.06,114.79,154.39,74.85,64.84,191.49,173.26,225.31,31.61,237.16,400.52,128.65,85.17,672.86,211.58,216.12,162.79,408.87,310.58,30.93,115.26,152.89,280.88,567.82,269.37,122.73,178.48,163.45,180.3,129.94,75.54
JAM3,Endogenous,,569.85,80.95,2112.98,81.22,,207.36,579.94,694.18,347.81,418.62,346.42,1850.45,299.45,222.42,267.75,142.23,636.08,80.95,560.03,93.75,1734.32,319.89,451.72,379.5,524.08,468.5,1230.65,526.3,244.95,426.76,193.6,2112.98,1010.48,492.25,1192.35,355.5,1211.75,321.67,102.84,509.14,224.15,228.12,258.83,189.3,525.12,954.49,515.31,810.02,1249.35,289.58,432.73,363.84,755.37
KIR3DL1,Endogenous,,17.77,4.83,58.56,65.64,,23.04,21.41,21.99,5.69,17.44,12.24,11.31,9.9,13.37,9.98,12.19,15.06,8.1,11.2,11.5,14.65,20.86,10.07,21.08,10.01,11.45,20.34,17.62,53.77,13.25,31.61,17.14,25.72,5.44,7.45,13.73,8.11,19.39,8.74,19.02,5.4,4.83,12.35,50.96,18.32,33.09,58.56,20.46,21.42,15.99,28.85,17.33,11.45
KIR3DL2,Endogenous,,24.21,3.43,138.24,113.28,,138.24,10.24,43.97,10.42,17.44,19.77,9.05,16.09,3.43,18.29,6.1,15.06,16.19,20.68,9.73,20.75,27.82,7.95,25.77,16.69,13.21,17.8,12.34,119.49,26.51,35.56,17.14,29.4,4.23,6.39,12.21,5.65,11.49,4.16,16.42,32.41,15.47,7.72,65.53,30.53,26.13,93.69,16.36,10.71,3.55,21.64,43.31,9.16
KIR3DL3,Endogenous,,26.48,3.77,230.4,136.8,,230.4,8.38,21.99,8.53,8.14,6.59,29.41,7.42,3.77,14.97,10.16,26.35,10.79,7.75,13.27,12.2,34.77,7.42,25.77,12.52,14.09,10.17,8.81,47.8,37.11,27.66,17.14,44.09,8.46,14.9,21.36,4.42,12.92,4.16,8.64,21.61,9.67,5.66,58.25,36.64,24.38,117.12,53.18,35.7,24.87,54.09,38.98,8.39
KIR_Activating_Subgroup_1,Endogenous,,16,2.13,93.69,98.35,,46.08,6.52,28.27,8.53,11.63,13.18,27.15,18.56,6.51,18.29,16.26,18.82,6.3,6.03,7.08,10.98,31.29,6.36,9.37,5.84,5.28,19.07,8.22,47.8,5.3,11.85,11.43,33.07,4.83,2.13,10.68,2.7,2.15,8.33,14.7,10.8,10.63,5.66,3.64,30.53,10.45,93.69,16.36,32.13,17.77,18.03,21.66,6.1
KIR_Activating_Subgroup_2,Endogenous,,20.09,3.62,128.83,105.35,,23.04,7.45,28.27,5.69,13.95,9.41,20.36,12.37,4.46,13.3,26.41,30.11,8.1,11.2,9.73,9.76,10.43,7.95,23.43,14.19,9.69,12.71,11.16,77.67,23.86,23.71,14.29,33.07,3.62,6.39,24.41,3.93,10.77,4.16,15.56,29.71,19.33,5.66,61.89,18.32,17.42,128.83,32.73,14.28,12.44,28.85,21.66,8.39
KIR_Inhibiting_Subgroup_1,Endogenous,,33.63,3.77,161.28,93.18,,161.28,18.62,40.83,11.37,20.93,20.71,24.88,9.9,3.77,18.29,34.54,33.87,14.39,18.09,14.15,26.85,93.88,9.54,35.14,19.19,14.09,25.43,25.85,83.64,34.46,39.51,20,47.77,7.85,15.97,33.57,7.86,26.57,12.07,28.53,45.91,16.43,9.26,47.32,61.06,24.38,140.54,57.27,57.11,10.66,46.88,34.65,9.16
KIR_Inhibiting_Subgroup_2,Endogenous,,25.5,6.11,161.28,107.38,,161.28,8.38,34.55,7.58,13.95,14.12,9.05,8.66,6.51,9.98,18.29,22.58,15.29,9.48,12.38,17.09,62.59,10.6,18.74,13.35,7.93,8.9,21.73,77.67,29.16,67.17,17.14,29.4,7.25,17.03,18.31,6.39,17.95,9.16,32.85,70.22,12.57,10.81,18.2,6.11,17.42,70.27,28.64,32.13,30.2,50.48,25.99,8.39
KIT,Endogenous,,81.05,12.38,400.32,110.71,,207.36,39.1,194.75,23.69,24.42,92.25,382.31,90.33,81.22,89.8,24.38,41.4,38.68,29.29,12.38,400.32,38.25,23.33,49.19,20.03,21.14,17.8,213.81,65.72,34.46,51.36,24.29,47.77,71.27,38.33,27.46,41.78,76.11,27.9,305.14,64.82,132.43,86.96,29.12,42.74,26.13,199.1,98.18,28.56,74.62,64.91,60.64,15.26
KLRB1,Endogenous,,67.4,8.46,375.53,113.83,,92.16,134.05,235.58,64.45,70.93,23.53,79.18,63.11,17.48,14.97,42.67,86.57,34.18,31.02,29.19,17.09,375.53,22.27,28.11,35.88,14.97,41.95,189.14,119.49,95.43,11.85,18.57,33.07,8.46,15.97,36.62,37.35,106.98,39.14,328.48,24.31,20.3,71.01,36.4,42.74,45.29,152.25,65.46,17.85,90.61,32.45,30.32,10.68
KLRC1,Endogenous,,59.06,6.04,184.32,62.46,,184.32,66.09,81.67,36.01,33.72,64.01,33.93,21.04,15.77,34.92,65.02,52.69,43.17,25.85,21.23,31.73,159.95,46.13,74.96,64.26,49.32,41.95,33.48,101.57,76.87,59.27,78.58,84.51,6.04,39.39,57.98,20.89,76.11,27.06,49.27,56.71,38.66,40.65,91.01,85.49,38.32,163.96,73.64,49.97,35.53,79.33,95.29,27.47
KLRC2,Endogenous,,52.91,3.19,367.88,136.74,,253.43,94.95,135.07,27.48,24.42,10.35,18.1,12.37,9.25,9.98,24.38,41.4,367.88,6.03,9.73,12.2,191.24,18.03,39.82,11.68,7.05,13.98,44.05,53.77,108.68,31.61,20,33.07,7.25,10.65,137.32,3.19,61.75,24.15,117.56,27.01,18.37,22.64,196.58,12.21,19.16,35.13,28.64,24.99,87.05,32.45,38.98,4.58
KLRD1,Endogenous,,37.26,4.8,159.95,84.37,,115.2,30.72,47.12,18.95,18.61,33.89,18.1,24.75,4.8,34.92,10.16,30.11,24.29,11.2,47.76,9.76,159.95,12.72,18.74,10.85,10.57,13.98,91.05,83.64,34.46,43.46,5.71,36.74,9.66,56.42,27.46,6.88,42.36,18.74,63.1,29.71,34.8,19.04,32.76,61.06,12.19,70.27,77.73,85.67,31.98,39.67,60.64,6.1
